,ch_n,ch_e,station_name,lat,lon,commune_id,name,canton
665,1249161.784,2655278.126,Lenzburg,47.3909645965,8.170774236289999,4201.0,Lenzburg,AG
666,1220544.507,2667074.167,Eschenbach,47.132486532899996,8.32272945603,1026.0,Eschenbach (LU),LU
667,1231267.626,2660877.964,Ermensee,47.2295318476,8.24251110699,1025.0,Ermensee,LU
668,1249180.4740000002,2655243.266,Lenzburg,47.3911356142,8.170314855260001,4201.0,Lenzburg,AG
669,1249181.21,2655241.655,Lenzburg,47.3911423687,8.17029360985,4201.0,Lenzburg,AG
670,1224326.118,2664466.437,Hochdorf,47.1667584525,8.288899807710001,1031.0,Hochdorf,LU
671,1225858.804,2663818.941,Baldegg Kloster,47.18060656229999,8.28057723466,1031.0,Hochdorf,LU
672,1232898.4,2659466.753,Mosen,47.244327768699996,8.22409301813,1030.0,Hitzkirch,LU
673,1249179.733,2655244.915,Lenzburg,47.391128811499996,8.170336603320001,4201.0,Lenzburg,AG
674,1253384.633,2663173.351,Mellingen Heitersberg,47.4282338183,8.27593436121,4033.0,Mellingen,AG
675,1249080.646,2646223.784,Aarau,47.3909320487,8.050847933150001,4001.0,Aarau,AG
676,1249082.252,2646223.182,Aarau,47.3909465352,8.05084012596,4001.0,Aarau,AG
677,1253367.482,2663151.5919999997,Mellingen Heitersberg,47.4280816564,8.27564356158,4033.0,Mellingen,AG
678,1251821.625,2660122.462,Magenwil,47.414462285,8.23528996342,4032.0,Mägenwil,AG
679,1249118.372,2646316.985,Aarau,47.391264811899994,8.05208621222,4001.0,Aarau,AG
680,1249116.942,2646317.549,Aarau,47.391251911000005,8.05209353405,4001.0,Aarau,AG
681,1249135.716,2646283.897,Aarau,47.391423126899994,8.05164977768,4001.0,Aarau,AG
682,1251008.261,2658580.2830000003,Othmarsingen,47.4072860825,8.21474978,4205.0,Othmarsingen,AG
683,1249241.95,2655235.2290000003,Lenzburg,47.391689192,8.170216000069999,4201.0,Lenzburg,AG
684,1249119.9009999998,2646316.442,Aarau,47.3912786018,8.05207917876,4001.0,Aarau,AG
685,1249126.982,2646252.554,Aarau,47.3913467738,8.05123375743,4001.0,Aarau,AG
